"","X","country","cnt_code","year","va","ps","ge","rq","rl","cc","fh_score","not_free","partly_free","free","fh_type"
"51",56,"Dominican Republic","DOM",2016,0.19,0.29,-0.25,-0.07,-0.29,-0.78,3,0,1,0,"partly_free"
"52",57,"Algeria","DZA",2016,-0.88,-1.14,-0.54,-1.17,-0.85,-0.69,5.5,1,0,0,"not_free"
"53",58,"Ecuador","ECU",2016,-0.25,-0.1,-0.43,-1.02,-0.69,-0.67,3,0,1,0,"partly_free"
"54",59,"Egypt, Arab Rep.","EGY",2016,-1.23,-1.42,-0.66,-0.92,-0.41,-0.63,5.5,1,0,0,"not_free"
"55",60,"Eritrea","ERI",2016,-2.1,-0.88,-1.69,-2.19,-1.53,-1.13,7,1,0,0,"not_free"
"56",61,"Spain","ESP",2016,1.06,0.49,1.12,1.01,0.98,0.52,1,0,0,1,"free"
"57",62,"Estonia","EST",2016,1.2,0.69,1.12,1.7,1.24,1.21,1,0,0,1,"free"
"58",63,"Ethiopia","ETH",2016,-1.45,-1.57,-0.64,-1.1,-0.39,-0.44,6.5,1,0,0,"not_free"
"59",64,"Finland","FIN",2016,1.49,0.96,1.85,1.82,2.02,2.28,1,0,0,1,"free"
"60",65,"Fiji","FJI",2016,-0.03,0.83,-0.26,-0.38,-0.29,0.13,3,0,1,0,"partly_free"
"61",66,"France","FRA",2016,1.08,-0.06,1.41,1.07,1.41,1.37,1,0,0,1,"free"
"62",67,"Micronesia, Fed. Sts.","FSM",2016,1.16,1.05,-0.35,-0.97,-0.06,0.65,1,0,0,1,"free"
"63",68,"Gabon","GAB",2016,-0.96,-0.07,-0.79,-0.8,-0.58,-0.75,5.5,1,0,0,"not_free"
"64",69,"United Kingdom","GBR",2016,1.24,0.38,1.61,1.76,1.63,1.88,1,0,0,1,"free"
"65",70,"Georgia","GEO",2016,0.22,-0.29,0.51,1.01,0.37,0.67,3,0,1,0,"partly_free"
"66",71,"Ghana","GHA",2016,0.64,-0.16,-0.2,-0.23,0,-0.17,1.5,0,0,1,"free"
"67",72,"Guinea","GIN",2016,-0.73,-0.41,-1.01,-0.87,-1.29,-0.94,5,0,1,0,"partly_free"
"68",73,"Gambia, The","GMB",2016,-1.28,-0.52,-0.84,-0.51,-0.75,-0.8,6.5,1,0,0,"not_free"
"69",74,"Guinea-Bissau","GNB",2016,-0.7,-0.5,-1.64,-1.24,-1.49,-1.56,5,0,1,0,"partly_free"
